id,name,family,mode,bars,steps,subdivision,density,polyphony,minNote,maxNote,colour,tags,bank,harmonyId,studyId,nodeId
"fourth-2b3300eee9bf2b6791960edf","Kaleidoscope R0429 - kit 2b","Kaleidoscope","rhythmic","2","32","4","0.8125","1.7692307692307692","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, kit, displaced, tight, structure, 8lane, 3bit","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-6","nmsj93mq4_1"
"fourth-91df83c6d42a5e6a293a4df4","Kaleidoscope R0430 - kit 0.5b","Kaleidoscope","rhythmic","0.5","8","4","1","1.875","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 0.5bar, straight, 4spq, dense, kit, displaced, tight, structure, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-50","nmsj93mq4_1"
"fourth-bf03ac8d3d9bd0fe39e143dc","Kaleidoscope R0431 - kit 0.5b","Kaleidoscope","rhythmic","0.5","6","3","1","2.1666666666666665","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 0.5bar, triplet, 3spq, dense, kit, anchored, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-14","nmsj94lub_3"
"fourth-408ebb8f22a5ab5b55d6f80d","Kaleidoscope R0432 - kit 1b","Kaleidoscope","rhythmic","1","16","4","0.75","1.75","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, straight, 4spq, dense, kit, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-13","nmsj94lub_3"
"fourth-8570e8e0102ff3948f141f02","Kaleidoscope R0433 - kit 2b","Kaleidoscope","rhythmic","2","64","8","1","2.609375","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 8spq, dense, kit, displaced, tight, structure, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-36","nmsj93mq4_1"
"fourth-b7be55d337d923992029e350","Kaleidoscope R0434 - percussion 0.5b","Kaleidoscope","rhythmic","0.5","8","4","0.875","2","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 0.5bar, straight, 4spq, dense, percussion, displaced, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-11","nmsgygm84_6"
"fourth-4b2ffebde68cc41f6ee55e52","Kaleidoscope R0435 - kit 1b","Kaleidoscope","rhythmic","1","12","3","0.8333333333333334","1.9","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, triplet, 3spq, dense, kit, anchored, tight, structure, 8lane, 3bit, duple","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-24","nmsj93mq4_1"
"fourth-d490af89d927a84e394eba78","Kaleidoscope R0436 - kit 1b","Kaleidoscope","rhythmic","1","16","4","1","1.875","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, straight, 4spq, dense, kit, displaced, tight, structure, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-51","nmsj93mq4_1"
"fourth-43f48280066f30823dbb232a","Kaleidoscope R0437 - percussion 4b","Kaleidoscope","rhythmic","4","96","6","0.6666666666666666","1.8125","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 4bar, triplet, 6spq, open, percussion, displaced, tight, cell, 8lane, 3bit","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-49","nmsgyce1b_3"
"fourth-a4418cd5fc6b48f50648ff72","Kaleidoscope R0438 - kit 0.5b","Kaleidoscope","rhythmic","0.5","16","8","0.625","1.6","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 0.5bar, straight, 8spq, open, kit, displaced, tight, cell, 8lane, 3bit","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-21","nmsgyce1b_3"
"fourth-1d4d1ad9386f190285abcbfd","Kaleidoscope R0439 - percussion 4b","Kaleidoscope","rhythmic","4","64","4","0.90625","2.1379310344827585","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 4bar, straight, 4spq, dense, percussion, displaced, tight, cell, 8lane, 3bit","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-24","nmsgygm84_6"
"fourth-91d4695e20e4fadfdc46bcb0","Kaleidoscope R0440 - percussion 1b","Kaleidoscope","rhythmic","1","12","3","0.8333333333333334","1.6","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, triplet, 3spq, dense, percussion, anchored, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-37","nmsgygm84_6"
"fourth-adde6593258278ad4c3f55f9","Kaleidoscope R0441 - kit 2b","Kaleidoscope","rhythmic","2","32","4","0.84375","1.4074074074074074","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, kit, displaced, tight, cell, 8lane, 3bit","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-20","nmsgygm84_6"
